駅名,利用者数
三河上郷,2075
三河八橋,3391
三河内,0
三河塩津,2824
三河大塚,2714
三河大野,217
三河安城,12394
三河島,23016
三河川合,50
三河東郷,145
三河槙原,36
三河田原,2951
三河知立,895
三河豊田,14917
三河高浜,4405
三河鳥羽,362
三河鹿島,646
三津,2007
三津浜,1080
三浦,28
三浦海岸,10981
三溝,393
三滝,1064
三潴,917
三瀬,0
三瀬谷,382
三田,225304
三田本町,773
三石,348
三縄,36
三股,0
三良坂,80
三苫,3574
三菱自工前,132
三見,46
三角,780
三谷,65
三越前,133564
三軒茶屋,142028
三輪,1430
三輪崎,56
三農校前,0
三郷,29242
三郷中央,30500
三里,644
三里木,1158
三重町,1683
三野瀬,58
三門,0
三間坂,716
三関,0
三陸,48
三雲,3914
三鷹,197414
三鷹台,22072
上の町,898
上ゲ,985
上ノ国,0
上ノ太子,4528
上ノ庄,12
上一万,1517
上万場,0
上三依塩原温泉口,30
上三田,94
上三緒,0
上下,124
上下浜,0
上中,448
上中里,16124
上丸渕,1046
上之郷,150
上二田,0
上井草,21302
上今井,0
上今市,103
上伊万里,0
上伊田,50
上伊集院,3472
上保原,397
上八木,1062
上前津,49060
上北台,13031
上北沢,15942
上北町,550
上厚内,0
上古沢,14
上呂,55
上嘉川,114
上堀,270
上塩屋,1221
上境,0
上夜久野,134
上大井,1049
上大岡,143758
上大月,98
上宇和,164
上安,4841
上富良野,654
上小川,92
上小田井,38891
上尾,84420
上尾幌,0
上山口,262
上岡,0
上島,3494
上川,296
上川内,219
上川口,98
上川立,38
上州一ノ宮,188
上州七日市,257
上州富岡,441
上州新屋,129
上州福島,286
上市,1862
上市場,16
上幌向,0
上幌延,0
上強羅,119
上戸,0
上戸手,1002
上挙母,4792
上新庄,47593
上星川,26006
上月,74
上有住,0
上有田,0
上本町,443
上本郷,7107
上杉,13
上条,49
上松,325
上松川,691
上板橋,51929
上林,29
上枝,28
上栄町,1483
上桂,7983
上桑名川,0
上桧木内,7
上横須賀,1294
上毛高原,1490
上永谷,37146
上沢,7752
上泉,84
上浜,0
上浦,102
上涌谷,0
上深川,620
上湯沢,0
上溝,12572
上滝,344
上熊本,5658
上熊谷,881
上片桐,689
上牧,9242
上狛,764
上田,10337
上田原,759
上田浦,18
上町,10587
上町一丁目,441
上町二丁目,608
上町五丁目,1065
上町四丁目,359
上白滝,0
上盛岡,0
上相浦,569
上石神井,44893
上石見,14
上磯,160
上社,22722
上神梅,27
上福岡,56428
上穂波,0
上米内,0
上総一ノ宮,6032
上総三又,100
上総中川,12
上総中野,70
上総久保,11
上総亀山,0
上総大久保,8
上総山田,115
上総川間,59
上総村上,106
上総東,28
上総松丘,0
上総清川,0
上総湊,1418
上総牛久,560
上総興津,376
上総鶴舞,14
上臼杵,742
上芦別,0
上菅,14
上菅谷,1524
上諏訪,8786
上諸江,379
上豊田,3164
上越国際スキー場前,0
上越妙高,4476
上道,340
上郡,6002
上郷,1380
上野,376340
上野動物園東園,7102
上野動物園西園,7102
上野原,9992
上野尻,40
上野市,1718
上野幌,5658
上野広小路,24123
上野御徒町,59753
上野毛,22572
上野目,0
上野芝,17402
上野部,12
上野間,632
上金田,181
上長瀞,241
上飯島,0
上飯田,9399
上鳥羽口,8128
上鹿折,0
上麻生,159
下ノ江,0
下丸子,36829
下久野,8
下之郷,304
下井草,24921
下井阪,866
下仁田,211
下今市,2436
下伊田,323
下兵庫,252
下兵庫こうふく,131
下切,1059
下北,386
下北条,136
下北沢,121739
下古沢,36
下吉田,738
下呂,1608
下和知,6
下唯野,4
下土狩,2715
下地,447
下士別,0
下夜久野,146
下大利,15548
下天津,2
下奥井,414
下妻,1845
下宇和,40
下小代,190
下小川,0
下小田井,3779
下山,182
下山口,8012
下山村,80
下山門,5792
下島,391
下川合,25
下川沿,0
下川辺,28
下市,138
下市口,2341
下市田,137
下平,186
下庄,607
下府,172
下徳富,0
下志比,80
下新,144
下新庄,8148
下新田,56
下曽我,2627
下曽根,13502
下条,0
下松,7756
下板橋,16554
下段,90
下永谷,11360
下油井,62
下沼,0
下泉,55
下津,766
下浜,0
下浦,338
下深川,2958
下深谷,1042
下湯沢,0
下溝,0
下滝,110
下灘,108
下狛,912
下田,404
下白滝,0
下祗園,11076
下神明,8702
下立,89
下立口,45
下総中山,48232
下総松崎,1384
下総橘,0
下総神崎,1680
下総豊里,0
下船渡,0
下菅谷,0
下落合,12435
下諏訪,4098
下赤塚,16287
下郡,0
下部温泉,172
下里,144
下野代,386
下野大沢,1582
下野宮,0
下野花岡,0
下金山,0
下関,20150
下飯田,6571
下館,8610
下館二高前,181
下馬,7524
下高井戸,44833
下鴨生,0
下麻生,81
不二越,370
不動の沢,0
不動前,31573
不動院前,4477
不破一色,1262
与謝野,233
与野,52996
与野本町,30958
世田谷,9119
世田谷代田,9348
世良田,464
両国,79724
両石,22
並木中央,5265
並木北,3582
並河,6512
中の島,12180
中ふ頭,6409
中ノ庄,1503
中ノ沢,0
中三依温泉,18
中三田,162
中之島,9252
中之条,2078
中之郷,301
中井,29347
中井侍,3
中京競馬場前,9750
中伏木,30
中佐世保,178
中佐都,0
中八木,2720
中公園,8262
中判田,1682
中加積,261
中原,2110
中名,0
中国勝山,612
中土,2
中埠頭,3215
中塩田,85
中多久,802
中央前橋,1632
中央区役所前,2880
中央図書館前,2144
中央大学・明星大学,33675
中央市場前,6856
中央弘前,308
中央林間,107086
中央病院前,660
中妻,209
中学校,1014
中富良野,0
中小国,0
中小屋,0
中小田井,3791
中山,84602
中山口,130
中山宿,0
中山寺,19086
中山平温泉,0
中山観音,11350
中山香,0
中岡崎,4159
中島,5800
中島公園,19248
中島公園通,1541
中崎町,15170
中川,18872
中川原,1658
中川辺,260
中庄,15904
中延,31947
中強羅,100
中愛別,0
中斜里,0
中新湊,96
中書島,12271
中村,844
中村公園,26000
中村区役所,13140
中村日赤,9988
中村橋,41021
中条,2378
中松,151
中松江,883
中板橋,29052
中根,17
中水野,3340
中沢,0
中河原,25845
中泉,79
中津,41688
中津川,6701
中津幡,1238
中洲川端,39166
中洲通,750
中浜,102
中浦,0
中浦和,26680
中深川,730
中滑川,793
中瀬古,285
中田,18030
中田平,26
中町（西町北）,650
中畑,2
中百舌鳥,76151
中目黒,196777
中神,22816
中福良,0
中筋,8281
中納言,302
中舟生,0
中荒井,12
中菅谷,0
中菰野,981
中萩,242
中萱,772
中角,78
中豊,0
中軽井沢,1395
中込,1996
中郡,1508
中部国際空港,29863
中部天竜,206
中里,255
中野,301772
中野坂上,77763
中野富士見町,20202
中野島,29994
中野新橋,20884
中野東,5402
中野松川,180
中野栄,11160
中間,3280
中電前,3334
中須田,0
中飯降,688
串,8
串木野,1686
串本,656
串間,0
丸の内,39446
丸ノ内,1148
丸亀,8010
丸太町,23356
